2020-01-26,12:42,GP,Åtta drabbade i pågående gasutsläpp,https://gp.se/nyheter/sverige/%C3%A5tta-drabbade-i-p%C3%A5g%C3%A5ende-gasutsl%C3%A4pp-1.23116678
2020-01-26,12:42,GP,Svahn enda svenskan i semi efter vallaflopp,https://gp.se/sport/svahn-enda-svenskan-i-semi-efter-vallaflopp-1.23114249
2020-01-26,12:42,IDG,Tack vare en 3d-bild som består av flera biljoner pixlar kommer forskare att kunna se hur olika delar av hjärnan kommunicerar med varandra.,https://techworld.idg.se/2.2524/1.729637/google-hjarna
2020-01-26,12:44,GP,Norge och Danmark avråder från resor,https://gp.se/nyheter/v%C3%A4rlden/norge-och-danmark-avr%C3%A5der-fr%C3%A5n-resor-1.23118377
2020-01-26,12:44,GP,Åtta drabbade i pågående gasutsläpp,https://gp.se/nyheter/sverige/%C3%A5tta-drabbade-i-p%C3%A5g%C3%A5ende-gasutsl%C3%A4pp-1.23116678
2020-01-26,12:44,GP,Svahn enda svenskan i semi efter vallaflopp,https://gp.se/sport/svahn-enda-svenskan-i-semi-efter-vallaflopp-1.23114249
2020-01-26,12:44,IDG,Tack vare en 3d-bild som består av flera biljoner pixlar kommer forskare att kunna se hur olika delar av hjärnan kommunicerar med varandra.,https://techworld.idg.se/2.2524/1.729637/google-hjarna
2020-01-26,12:44,GP,Norge och Danmark avråder från resor,https://gp.se/nyheter/v%C3%A4rlden/norge-och-danmark-avr%C3%A5der-fr%C3%A5n-resor-1.23118377
2020-01-26,12:44,GP,Åtta drabbade i pågående gasutsläpp,https://gp.se/nyheter/sverige/%C3%A5tta-drabbade-i-p%C3%A5g%C3%A5ende-gasutsl%C3%A4pp-1.23116678
2020-01-26,12:44,GP,Svahn enda svenskan i semi efter vallaflopp,https://gp.se/sport/svahn-enda-svenskan-i-semi-efter-vallaflopp-1.23114249
2020-01-26,12:44,IDG,Tack vare en 3d-bild som består av flera biljoner pixlar kommer forskare att kunna se hur olika delar av hjärnan kommunicerar med varandra.,https://techworld.idg.se/2.2524/1.729637/google-hjarna
2020-01-26,12:44,GP,Näslund en vinnare i Idre,https://gp.se/sport/n%C3%A4slund-en-vinnare-i-idre-1.23119160
2020-01-26,12:44,GP,Norge och Danmark avråder från resor,https://gp.se/nyheter/v%C3%A4rlden/norge-och-danmark-avr%C3%A5der-fr%C3%A5n-resor-1.23118377
2020-01-26,12:44,GP,Åtta drabbade i pågående gasutsläpp,https://gp.se/nyheter/sverige/%C3%A5tta-drabbade-i-p%C3%A5g%C3%A5ende-gasutsl%C3%A4pp-1.23116678
2020-01-26,12:44,IDG,Tack vare en 3d-bild som består av flera biljoner pixlar kommer forskare att kunna se hur olika delar av hjärnan kommunicerar med varandra.,https://techworld.idg.se/2.2524/1.729637/google-hjarna
2020-01-26,12:47,GP,Näslund en vinnare i Idre,https://gp.se/sport/n%C3%A4slund-en-vinnare-i-idre-1.23119160
2020-01-26,12:47,GP,Norge och Danmark avråder från resor,https://gp.se/nyheter/v%C3%A4rlden/norge-och-danmark-avr%C3%A5der-fr%C3%A5n-resor-1.23118377
2020-01-26,12:47,GP,Åtta drabbade i pågående gasutsläpp,https://gp.se/nyheter/sverige/%C3%A5tta-drabbade-i-p%C3%A5g%C3%A5ende-gasutsl%C3%A4pp-1.23116678
2020-01-26,12:47,IDG,Tack vare en 3d-bild som består av flera biljoner pixlar kommer forskare att kunna se hur olika delar av hjärnan kommunicerar med varandra.,https://techworld.idg.se/2.2524/1.729637/google-hjarna
2020-01-26,12:47,GP,Näslund en vinnare i Idre,https://gp.se/sport/n%C3%A4slund-en-vinnare-i-idre-1.23119160
2020-01-26,12:47,GP,Norge och Danmark avråder från resor,https://gp.se/nyheter/v%C3%A4rlden/norge-och-danmark-avr%C3%A5der-fr%C3%A5n-resor-1.23118377
2020-01-26,12:47,GP,Åtta drabbade i pågående gasutsläpp,https://gp.se/nyheter/sverige/%C3%A5tta-drabbade-i-p%C3%A5g%C3%A5ende-gasutsl%C3%A4pp-1.23116678
2020-01-26,12:48,GP,Näslund en vinnare i Idre,https://gp.se/sport/n%C3%A4slund-en-vinnare-i-idre-1.23119160
2020-01-26,12:48,GP,Norge och Danmark avråder från resor,https://gp.se/nyheter/v%C3%A4rlden/norge-och-danmark-avr%C3%A5der-fr%C3%A5n-resor-1.23118377
2020-01-26,12:48,GP,Åtta drabbade i pågående gasutsläpp,https://gp.se/nyheter/sverige/%C3%A5tta-drabbade-i-p%C3%A5g%C3%A5ende-gasutsl%C3%A4pp-1.23116678
2020-01-26,12:48,IDG,Ett intrång i nätverket på ett europeiskt energibolag har stoppats efter att ha pågått från november förra året till januari i år. Iranska staten misstänks ligga bakom attacken.,https://computersweden.idg.se/2.2683/1.729667/cyberattack-energibolag-iran
2020-01-26,13:30,GP,Soldater döda i terroristattack i Mali,https://gp.se/nyheter/v%C3%A4rlden/soldater-d%C3%B6da-i-terroristattack-i-mali-1.23119405
2020-01-26,13:30,GP,Sverige utanför pallen i sprinten,https://gp.se/sport/sverige-utanf%C3%B6r-pallen-i-sprinten-1.23114249
2020-01-26,13:30,GP,Familjen delar drömhuset med sina vänner,https://gp.se/livsstil/tv%C3%A5-dagar/familjen-delar-dr%C3%B6mhuset-med-sina-v%C3%A4nner-1.22850847
2020-01-26,13:30,IDG,För att lyckas på jobbintervjun kan det vara bra att öva. Faktum är att även de frågor som verkar enkla kan vara de som avgör om du får jobbet eller inte. Amerikanska CIO har tipsen på hur du ska svara. ,https://computersweden.idg.se/2.2683/1.666232/fragor-anstallningsintervju-tips
2020-01-26,13:30,GP,Soldater döda i terroristattack i Mali,https://gp.se/nyheter/v%C3%A4rlden/soldater-d%C3%B6da-i-terroristattack-i-mali-1.23119405
2020-01-26,13:30,GP,Sverige utanför pallen i sprinten,https://gp.se/sport/sverige-utanf%C3%B6r-pallen-i-sprinten-1.23114249
